	system_time_stamp	msg
0	2932475032648	Calibration_start
1	2932475042503	calibration point 0 at position -19.169474339912615 -10.782829316200846
2	2932480707965	calibration point 1 at position 19.169474339912615 10.782829316200846
3	2932483208071	calibration point 2 at position 19.169474339912615 -10.782829316200846
4	2932485358097	calibration point 3 at position -19.169474339912615 10.782829316200846
5	2932487574754	calibration point 4 at position 0.0 -0.0
6	2932490554657	Calibration_stop
7	2932490654846	Validation_start
8	2932491158070	validation point 0 at position 0.0 8.087121987150633
9	2932492658199	validation point 1 at position 14.377105754934462 -0.0
10	2932494158068	validation point 2 at position -14.377105754934458 -0.0
11	2932495658081	validation point 3 at position 0.0 -8.087121987150637
12	2932496658483	Validation_end
13	2932496701703	validation data quality Dev_L: 0.62, Dev_R: 0.54 RMS_L: 0.22, RMS_R: 0.14, SD_L: 0.14, SD_R: 0.08, LOSS_L: 0.12, LOSS_R: 0.15
14	2932500741490	fix on
15	2932501724710	fix off
16	2932501745553	onset_unnamed MovieStim3
17	2932511724735	offset_unnamed MovieStim3
18	2932511741643	onset_unnamed MovieStim3
19	2932521724993	offset_unnamed MovieStim3
